epi_year_week,date,day,iso_week,epi_week,epi_year,date.1,day_off,break_day,holiday,day_off_sat,day_off_sun
2007-01,01.01.07,1.0,1.0,1.0,2007.0,2007-01-01,0.0,1.0,1.0,0.0,0.0
2007-01,02.01.07,2.0,1.0,1.0,2007.0,2007-01-02,0.0,1.0,1.0,0.0,0.0
2007-01,03.01.07,3.0,1.0,1.0,2007.0,2007-01-03,0.0,1.0,1.0,0.0,0.0
2007-01,04.01.07,4.0,1.0,1.0,2007.0,2007-01-04,0.0,1.0,1.0,0.0,0.0
2007-01,05.01.07,5.0,1.0,1.0,2007.0,2007-01-05,0.0,1.0,1.0,0.0,0.0
2007-01,06.01.07,6.0,1.0,1.0,2007.0,2007-01-06,0.0,1.0,1.0,0.0,0.0
2007-01,07.01.07,7.0,1.0,1.0,2007.0,2007-01-07,0.0,1.0,1.0,0.0,0.0
2007-02,08.01.07,1.0,2.0,2.0,2007.0,2007-01-08,0.0,1.0,1.0,0.0,0.0
2007-02,09.01.07,2.0,2.0,2.0,2007.0,2007-01-09,0.0,0.0,0.0,0.0,0.0
2007-02,10.01.07,3.0,2.0,2.0,2007.0,2007-01-10,0.0,0.0,0.0,0.0,0.0
2007-02,11.01.07,4.0,2.0,2.0,2007.0,2007-01-11,0.0,0.0,0.0,0.0,0.0
2007-02,12.01.07,5.0,2.0,2.0,2007.0,2007-01-12,0.0,0.0,0.0,0.0,0.0
2007-02,13.01.07,6.0,2.0,2.0,2007.0,2007-01-13,1.0,0.0,0.0,1.0,0.0
2007-02,14.01.07,7.0,2.0,2.0,2007.0,2007-01-14,1.0,0.0,0.0,0.0,1.0
2007-03,15.01.07,1.0,3.0,3.0,2007.0,2007-01-15,0.0,0.0,0.0,0.0,0.0
2007-03,16.01.07,2.0,3.0,3.0,2007.0,2007-01-16,0.0,0.0,0.0,0.0,0.0
2007-03,17.01.07,3.0,3.0,3.0,2007.0,2007-01-17,0.0,0.0,0.0,0.0,0.0
2007-03,18.01.07,4.0,3.0,3.0,2007.0,2007-01-18,0.0,0.0,0.0,0.0,0.0
2007-03,19.01.07,5.0,3.0,3.0,2007.0,2007-01-19,0.0,0.0,0.0,0.0,0.0
2007-03,20.01.07,6.0,3.0,3.0,2007.0,2007-01-20,1.0,0.0,0.0,1.0,0.0
2007-03,21.01.07,7.0,3.0,3.0,2007.0,2007-01-21,1.0,0.0,0.0,0.0,1.0
2007-04,22.01.07,1.0,4.0,4.0,2007.0,2007-01-22,0.0,0.0,0.0,0.0,0.0
2007-04,23.01.07,2.0,4.0,4.0,2007.0,2007-01-23,0.0,0.0,0.0,0.0,0.0
2007-04,24.01.07,3.0,4.0,4.0,2007.0,2007-01-24,0.0,0.0,0.0,0.0,0.0
2007-04,25.01.07,4.0,4.0,4.0,2007.0,2007-01-25,0.0,0.0,0.0,0.0,0.0
2007-04,26.01.07,5.0,4.0,4.0,2007.0,2007-01-26,0.0,0.0,0.0,0.0,0.0
2007-04,27.01.07,6.0,4.0,4.0,2007.0,2007-01-27,1.0,0.0,0.0,1.0,0.0
2007-04,28.01.07,7.0,4.0,4.0,2007.0,2007-01-28,1.0,0.0,0.0,0.0,1.0
2007-05,29.01.07,1.0,5.0,5.0,2007.0,2007-01-29,0.0,0.0,0.0,0.0,0.0
2007-05,30.01.07,2.0,5.0,5.0,2007.0,2007-01-30,0.0,0.0,0.0,0.0,0.0
2007-05,31.01.07,3.0,5.0,5.0,2007.0,2007-01-31,0.0,0.0,0.0,0.0,0.0
2007-05,01.02.07,4.0,5.0,5.0,2007.0,2007-02-01,0.0,0.0,0.0,0.0,0.0
2007-05,02.02.07,5.0,5.0,5.0,2007.0,2007-02-02,0.0,0.0,0.0,0.0,0.0
2007-05,03.02.07,6.0,5.0,5.0,2007.0,2007-02-03,1.0,0.0,0.0,1.0,0.0
2007-05,04.02.07,7.0,5.0,5.0,2007.0,2007-02-04,1.0,0.0,0.0,0.0,1.0
2007-06,05.02.07,1.0,6.0,6.0,2007.0,2007-02-05,0.0,0.0,0.0,0.0,0.0
2007-06,06.02.07,2.0,6.0,6.0,2007.0,2007-02-06,0.0,0.0,0.0,0.0,0.0
2007-06,07.02.07,3.0,6.0,6.0,2007.0,2007-02-07,0.0,0.0,0.0,0.0,0.0
2007-06,08.02.07,4.0,6.0,6.0,2007.0,2007-02-08,0.0,0.0,0.0,0.0,0.0
2007-06,09.02.07,5.0,6.0,6.0,2007.0,2007-02-09,0.0,0.0,0.0,0.0,0.0
2007-06,10.02.07,6.0,6.0,6.0,2007.0,2007-02-10,1.0,0.0,0.0,1.0,0.0
2007-06,11.02.07,7.0,6.0,6.0,2007.0,2007-02-11,1.0,0.0,0.0,0.0,1.0
2007-07,12.02.07,1.0,7.0,7.0,2007.0,2007-02-12,0.0,0.0,0.0,0.0,0.0
2007-07,13.02.07,2.0,7.0,7.0,2007.0,2007-02-13,0.0,0.0,0.0,0.0,0.0
2007-07,14.02.07,3.0,7.0,7.0,2007.0,2007-02-14,0.0,0.0,0.0,0.0,0.0
2007-07,15.02.07,4.0,7.0,7.0,2007.0,2007-02-15,0.0,0.0,0.0,0.0,0.0
2007-07,16.02.07,5.0,7.0,7.0,2007.0,2007-02-16,0.0,0.0,0.0,0.0,0.0
2007-07,17.02.07,6.0,7.0,7.0,2007.0,2007-02-17,1.0,0.0,0.0,1.0,0.0
2007-07,18.02.07,7.0,7.0,7.0,2007.0,2007-02-18,1.0,0.0,0.0,0.0,1.0
2007-08,19.02.07,1.0,8.0,8.0,2007.0,2007-02-19,0.0,0.1,0.0,0.0,0.0
2007-08,20.02.07,2.0,8.0,8.0,2007.0,2007-02-20,0.0,0.1,0.0,0.0,0.0
2007-08,21.02.07,3.0,8.0,8.0,2007.0,2007-02-21,0.0,0.1,0.0,0.0,0.0
2007-08,22.02.07,4.0,8.0,8.0,2007.0,2007-02-22,0.0,0.1,0.1,0.0,0.0
2007-08,23.02.07,5.0,8.0,8.0,2007.0,2007-02-23,0.0,0.1,1.0,0.0,0.0
2007-08,24.02.07,6.0,8.0,8.0,2007.0,2007-02-24,0.0,0.1,1.0,0.0,0.0
2007-08,25.02.07,7.0,8.0,8.0,2007.0,2007-02-25,0.0,0.1,1.0,0.0,0.0
2007-09,26.02.07,1.0,9.0,9.0,2007.0,2007-02-26,0.0,0.0,0.0,0.0,0.0
2007-09,27.02.07,2.0,9.0,9.0,2007.0,2007-02-27,0.0,0.0,0.0,0.0,0.0
2007-09,28.02.07,3.0,9.0,9.0,2007.0,2007-02-28,0.0,0.0,0.0,0.0,0.0
2007-09,01.03.07,4.0,9.0,9.0,2007.0,2007-03-01,0.0,0.0,0.0,0.0,0.0
2007-09,02.03.07,5.0,9.0,9.0,2007.0,2007-03-02,0.0,0.0,0.0,0.0,0.0
2007-09,03.03.07,6.0,9.0,9.0,2007.0,2007-03-03,1.0,0.0,0.0,1.0,0.0
2007-09,04.03.07,7.0,9.0,9.0,2007.0,2007-03-04,1.0,0.0,0.0,0.0,1.0
2007-10,05.03.07,1.0,10.0,10.0,2007.0,2007-03-05,0.0,0.0,0.0,0.0,0.0
2007-10,06.03.07,2.0,10.0,10.0,2007.0,2007-03-06,0.0,0.0,0.0,0.0,0.0
2007-10,07.03.07,3.0,10.0,10.0,2007.0,2007-03-07,0.0,0.0,0.1,0.0,0.0
2007-10,08.03.07,4.0,10.0,10.0,2007.0,2007-03-08,0.0,0.0,1.0,0.0,0.0
2007-10,09.03.07,5.0,10.0,10.0,2007.0,2007-03-09,0.0,0.0,0.0,0.0,0.0
2007-10,10.03.07,6.0,10.0,10.0,2007.0,2007-03-10,1.0,0.0,0.0,1.0,0.0
2007-10,11.03.07,7.0,10.0,10.0,2007.0,2007-03-11,1.0,0.0,0.0,0.0,1.0
2007-11,12.03.07,1.0,11.0,11.0,2007.0,2007-03-12,0.0,0.0,0.0,0.0,0.0
2007-11,13.03.07,2.0,11.0,11.0,2007.0,2007-03-13,0.0,0.0,0.0,0.0,0.0
2007-11,14.03.07,3.0,11.0,11.0,2007.0,2007-03-14,0.0,0.0,0.0,0.0,0.0
2007-11,15.03.07,4.0,11.0,11.0,2007.0,2007-03-15,0.0,0.0,0.0,0.0,0.0
2007-11,16.03.07,5.0,11.0,11.0,2007.0,2007-03-16,0.0,0.0,0.0,0.0,0.0
2007-11,17.03.07,6.0,11.0,11.0,2007.0,2007-03-17,1.0,0.0,0.0,1.0,0.0
2007-11,18.03.07,7.0,11.0,11.0,2007.0,2007-03-18,1.0,0.0,0.0,0.0,1.0
2007-12,19.03.07,1.0,12.0,12.0,2007.0,2007-03-19,0.0,0.0,0.0,0.0,0.0
2007-12,20.03.07,2.0,12.0,12.0,2007.0,2007-03-20,0.0,0.0,0.0,0.0,0.0
2007-12,21.03.07,3.0,12.0,12.0,2007.0,2007-03-21,0.0,0.0,0.0,0.0,0.0
2007-12,22.03.07,4.0,12.0,12.0,2007.0,2007-03-22,0.0,0.0,0.0,0.0,0.0
2007-12,23.03.07,5.0,12.0,12.0,2007.0,2007-03-23,0.0,0.0,0.0,0.0,0.0
2007-12,24.03.07,6.0,12.0,12.0,2007.0,2007-03-24,1.0,0.0,0.0,1.0,0.0
2007-12,25.03.07,7.0,12.0,12.0,2007.0,2007-03-25,1.0,1.0,0.0,0.0,1.0
2007-13,26.03.07,1.0,13.0,13.0,2007.0,2007-03-26,0.0,1.0,0.0,0.0,0.0
2007-13,27.03.07,2.0,13.0,13.0,2007.0,2007-03-27,0.0,1.0,0.0,0.0,0.0
2007-13,28.03.07,3.0,13.0,13.0,2007.0,2007-03-28,0.0,1.0,0.0,0.0,0.0
2007-13,29.03.07,4.0,13.0,13.0,2007.0,2007-03-29,0.0,1.0,0.0,0.0,0.0
2007-13,30.03.07,5.0,13.0,13.0,2007.0,2007-03-30,0.0,1.0,0.0,0.0,0.0
2007-13,31.03.07,6.0,13.0,13.0,2007.0,2007-03-31,1.0,1.0,0.0,1.0,0.0
2007-13,01.04.07,7.0,13.0,13.0,2007.0,2007-04-01,1.0,1.0,0.0,0.0,1.0
2007-14,02.04.07,1.0,14.0,14.0,2007.0,2007-04-02,0.0,0.0,0.0,0.0,0.0
2007-14,03.04.07,2.0,14.0,14.0,2007.0,2007-04-03,0.0,0.0,0.0,0.0,0.0
2007-14,04.04.07,3.0,14.0,14.0,2007.0,2007-04-04,0.0,0.0,0.0,0.0,0.0
2007-14,05.04.07,4.0,14.0,14.0,2007.0,2007-04-05,0.0,0.0,0.0,0.0,0.0
2007-14,06.04.07,5.0,14.0,14.0,2007.0,2007-04-06,0.0,0.0,0.0,0.0,0.0
2007-14,07.04.07,6.0,14.0,14.0,2007.0,2007-04-07,1.0,0.0,0.0,1.0,0.0
2007-14,08.04.07,7.0,14.0,14.0,2007.0,2007-04-08,1.0,0.0,0.0,0.0,1.0
2007-15,09.04.07,1.0,15.0,15.0,2007.0,2007-04-09,0.0,0.0,0.0,0.0,0.0
2007-15,10.04.07,2.0,15.0,15.0,2007.0,2007-04-10,0.0,0.0,0.0,0.0,0.0
2007-15,11.04.07,3.0,15.0,15.0,2007.0,2007-04-11,0.0,0.0,0.0,0.0,0.0
2007-15,12.04.07,4.0,15.0,15.0,2007.0,2007-04-12,0.0,0.0,0.0,0.0,0.0
2007-15,13.04.07,5.0,15.0,15.0,2007.0,2007-04-13,0.0,0.0,0.0,0.0,0.0
2007-15,14.04.07,6.0,15.0,15.0,2007.0,2007-04-14,1.0,0.0,0.0,1.0,0.0
2007-15,15.04.07,7.0,15.0,15.0,2007.0,2007-04-15,1.0,0.0,0.0,0.0,1.0
2007-16,16.04.07,1.0,16.0,16.0,2007.0,2007-04-16,0.0,0.0,0.0,0.0,0.0
2007-16,17.04.07,2.0,16.0,16.0,2007.0,2007-04-17,0.0,0.0,0.0,0.0,0.0
2007-16,18.04.07,3.0,16.0,16.0,2007.0,2007-04-18,0.0,0.0,0.0,0.0,0.0
2007-16,19.04.07,4.0,16.0,16.0,2007.0,2007-04-19,0.0,0.0,0.0,0.0,0.0
2007-16,20.04.07,5.0,16.0,16.0,2007.0,2007-04-20,0.0,0.0,0.0,0.0,0.0
2007-16,21.04.07,6.0,16.0,16.0,2007.0,2007-04-21,1.0,0.0,0.0,1.0,0.0
2007-16,22.04.07,7.0,16.0,16.0,2007.0,2007-04-22,1.0,0.0,0.0,0.0,1.0
2007-17,23.04.07,1.0,17.0,17.0,2007.0,2007-04-23,0.0,0.0,0.0,0.0,0.0
2007-17,24.04.07,2.0,17.0,17.0,2007.0,2007-04-24,0.0,0.0,0.0,0.0,0.0
2007-17,25.04.07,3.0,17.0,17.0,2007.0,2007-04-25,0.0,0.0,0.0,0.0,0.0
2007-17,26.04.07,4.0,17.0,17.0,2007.0,2007-04-26,0.0,0.0,0.0,0.0,0.0
2007-17,27.04.07,5.0,17.0,17.0,2007.0,2007-04-27,0.0,0.0,0.0,0.0,0.0
2007-17,28.04.07,6.0,17.0,17.0,2007.0,2007-04-28,0.0,0.0,0.1,0.0,0.0
2007-17,29.04.07,7.0,17.0,17.0,2007.0,2007-04-29,0.0,0.0,1.0,0.0,0.0
2007-18,30.04.07,1.0,18.0,18.0,2007.0,2007-04-30,0.0,0.0,1.0,0.0,0.0
2007-18,01.05.07,2.0,18.0,18.0,2007.0,2007-05-01,0.0,0.0,1.0,0.0,0.0
2007-18,02.05.07,3.0,18.0,18.0,2007.0,2007-05-02,0.0,0.0,0.0,0.0,0.0
2007-18,03.05.07,4.0,18.0,18.0,2007.0,2007-05-03,0.0,0.0,0.0,0.0,0.0
2007-18,04.05.07,5.0,18.0,18.0,2007.0,2007-05-04,0.0,0.0,0.0,0.0,0.0
2007-18,05.05.07,6.0,18.0,18.0,2007.0,2007-05-05,1.0,0.0,0.0,1.0,0.0
2007-18,06.05.07,7.0,18.0,18.0,2007.0,2007-05-06,1.0,0.0,0.0,0.0,1.0
2007-19,07.05.07,1.0,19.0,19.0,2007.0,2007-05-07,0.0,0.0,0.0,0.0,0.0
2007-19,08.05.07,2.0,19.0,19.0,2007.0,2007-05-08,0.0,0.0,0.1,0.0,0.0
