date,year,isoWeek,month,day,epi_week,epi_year,Count
2010-12-13,2010,50,12,1,50,2010,614
2010-12-14,2010,50,12,2,50,2010,488
2010-12-15,2010,50,12,3,50,2010,404
2010-12-16,2010,50,12,4,50,2010,393
2010-12-17,2010,50,12,5,50,2010,366
2010-12-18,2010,50,12,6,50,2010,157
2010-12-19,2010,50,12,7,50,2010,71
2010-12-20,2010,51,12,1,51,2010,540
2010-12-21,2010,51,12,2,51,2010,400
2010-12-22,2010,51,12,3,51,2010,347
2010-12-23,2010,51,12,4,51,2010,314
2010-12-24,2010,51,12,5,51,2010,296
2010-12-25,2010,51,12,6,51,2010,146
2010-12-26,2010,51,12,7,51,2010,104
2010-12-27,2010,52,12,1,52,2010,400
2010-12-28,2010,52,12,2,52,2010,304
2010-12-29,2010,52,12,3,52,2010,230
2010-12-30,2010,52,12,4,52,2010,203
2010-12-31,2010,52,12,5,52,2010,124
2011-01-01,2011,52,1,6,52,2010,41
2011-01-02,2011,52,1,7,52,2010,58
2011-01-03,2011,1,1,1,1,2011,164
2011-01-04,2011,1,1,2,1,2011,160
2011-01-05,2011,1,1,3,1,2011,165
2011-01-06,2011,1,1,4,1,2011,135
2011-01-07,2011,1,1,5,1,2011,101
2011-01-08,2011,1,1,6,1,2011,111
2011-01-09,2011,1,1,7,1,2011,125
2011-01-10,2011,2,1,1,2,2011,173
2011-01-11,2011,2,1,2,2,2011,383
2011-01-12,2011,2,1,3,2,2011,339
2011-01-13,2011,2,1,4,2,2011,251
2011-01-14,2011,2,1,5,2,2011,228
2011-01-15,2011,2,1,6,2,2011,86
2011-01-16,2011,2,1,7,2,2011,74
2011-01-17,2011,3,1,1,3,2011,365
2011-01-18,2011,3,1,2,3,2011,286
2011-01-19,2011,3,1,3,3,2011,292
2011-01-20,2011,3,1,4,3,2011,322
2011-01-21,2011,3,1,5,3,2011,278
2011-01-22,2011,3,1,6,3,2011,137
2011-01-23,2011,3,1,7,3,2011,103
2011-01-24,2011,4,1,1,4,2011,583
2011-01-25,2011,4,1,2,4,2011,461
2011-01-26,2011,4,1,3,4,2011,450
