epi_year_week,date,day,iso_week,epi_week,epi_year,date.1,day_off,break_day,holiday,day_off_sat,day_off_sun
2001-01,01.01.01,1,1,1,2001,2001-01-01,0.0,1.0,1.0,0.0,0.0
2001-01,02.01.01,2,1,1,2001,2001-01-02,0.0,1.0,1.0,0.0,0.0
2001-01,03.01.01,3,1,1,2001,2001-01-03,0.0,1.0,0.0,0.0,0.0
2001-01,04.01.01,4,1,1,2001,2001-01-04,0.0,1.0,0.0,0.0,0.0
2001-01,05.01.01,5,1,1,2001,2001-01-05,0.0,1.0,0.0,0.0,0.0
2001-01,06.01.01,6,1,1,2001,2001-01-06,0.0,1.0,1.0,0.0,0.0
2001-01,07.01.01,7,1,1,2001,2001-01-07,0.0,1.0,1.0,0.0,0.0
2001-02,08.01.01,1,2,2,2001,2001-01-08,0.0,1.0,1.0,0.0,0.0
2001-02,09.01.01,2,2,2,2001,2001-01-09,0.0,0.0,0.0,0.0,0.0
2001-02,10.01.01,3,2,2,2001,2001-01-10,0.0,0.0,0.0,0.0,0.0
2001-02,11.01.01,4,2,2,2001,2001-01-11,0.0,0.0,0.0,0.0,0.0
2001-02,12.01.01,5,2,2,2001,2001-01-12,0.0,0.0,0.0,0.0,0.0
2001-02,13.01.01,6,2,2,2001,2001-01-13,1.0,0.0,0.0,1.0,0.0
2001-02,14.01.01,7,2,2,2001,2001-01-14,1.0,0.0,0.0,0.0,1.0
2001-03,15.01.01,1,3,3,2001,2001-01-15,0.0,0.0,0.0,0.0,0.0
2001-03,16.01.01,2,3,3,2001,2001-01-16,0.0,0.0,0.0,0.0,0.0
2001-03,17.01.01,3,3,3,2001,2001-01-17,0.0,0.0,0.0,0.0,0.0
2001-03,18.01.01,4,3,3,2001,2001-01-18,0.0,0.0,0.0,0.0,0.0
2001-03,19.01.01,5,3,3,2001,2001-01-19,0.0,0.0,0.0,0.0,0.0
2001-03,20.01.01,6,3,3,2001,2001-01-20,1.0,0.0,0.0,1.0,0.0
2001-03,21.01.01,7,3,3,2001,2001-01-21,1.0,0.0,0.0,0.0,1.0
2001-04,22.01.01,1,4,4,2001,2001-01-22,0.0,0.0,0.0,0.0,0.0
2001-04,23.01.01,2,4,4,2001,2001-01-23,0.0,0.0,0.0,0.0,0.0
2001-04,24.01.01,3,4,4,2001,2001-01-24,0.0,0.0,0.0,0.0,0.0
2001-04,25.01.01,4,4,4,2001,2001-01-25,0.0,0.0,0.0,0.0,0.0
2001-04,26.01.01,5,4,4,2001,2001-01-26,0.0,0.0,0.0,0.0,0.0
2001-04,27.01.01,6,4,4,2001,2001-01-27,1.0,0.0,0.0,1.0,0.0
2001-04,28.01.01,7,4,4,2001,2001-01-28,1.0,0.0,0.0,0.0,1.0
2001-05,29.01.01,1,5,5,2001,2001-01-29,0.0,0.0,0.0,0.0,0.0
2001-05,30.01.01,2,5,5,2001,2001-01-30,0.0,0.0,0.0,0.0,0.0
2001-05,31.01.01,3,5,5,2001,2001-01-31,0.0,0.0,0.0,0.0,0.0
2001-05,01.02.01,4,5,5,2001,2001-02-01,0.0,0.0,0.0,0.0,0.0
2001-05,02.02.01,5,5,5,2001,2001-02-02,0.0,0.0,0.0,0.0,0.0
2001-05,03.02.01,6,5,5,2001,2001-02-03,1.0,0.0,0.0,1.0,0.0
2001-05,04.02.01,7,5,5,2001,2001-02-04,1.0,0.0,0.0,0.0,1.0
2001-06,05.02.01,1,6,6,2001,2001-02-05,0.0,0.0,0.0,0.0,0.0
2001-06,06.02.01,2,6,6,2001,2001-02-06,0.0,0.0,0.0,0.0,0.0
2001-06,07.02.01,3,6,6,2001,2001-02-07,0.0,0.0,0.0,0.0,0.0
2001-06,08.02.01,4,6,6,2001,2001-02-08,0.0,0.0,0.0,0.0,0.0
2001-06,09.02.01,5,6,6,2001,2001-02-09,0.0,0.0,0.0,0.0,0.0
2001-06,10.02.01,6,6,6,2001,2001-02-10,1.0,0.0,0.0,1.0,0.0
2001-06,11.02.01,7,6,6,2001,2001-02-11,1.0,0.0,0.0,0.0,1.0
2001-07,12.02.01,1,7,7,2001,2001-02-12,0.0,0.0,0.0,0.0,0.0
2001-07,13.02.01,2,7,7,2001,2001-02-13,0.0,0.0,0.0,0.0,0.0
2001-07,14.02.01,3,7,7,2001,2001-02-14,0.0,0.0,0.0,0.0,0.0
2001-07,15.02.01,4,7,7,2001,2001-02-15,0.0,0.0,0.0,0.0,0.0
2001-07,16.02.01,5,7,7,2001,2001-02-16,0.0,0.0,0.0,0.0,0.0
2001-07,17.02.01,6,7,7,2001,2001-02-17,1.0,0.0,0.0,1.0,0.0
2001-07,18.02.01,7,7,7,2001,2001-02-18,1.0,0.0,0.0,0.0,1.0
