LT,ITF09,ITF1330,ITF18,ITF21,RH09,RH1330,RH18,RH21,RHTR09,RHTR1330,RHTR18,RHTR21,T09,T1330,T18,T21,U09,U1330,U18,U21
2001-01-01,60.66100301410527,60.721920133112455,60.77354845655835,60.83989295473156,0.6610030141052605,0.7219201331124595,0.7735484565583604,0.8398929547315626,1.5865817933572668,1.73279896613586,1.8567205765565078,2.0159648926108136,-43.4,-42.45,-41.7,-40.8,78.0,78.0,78.0,78.0
2001-01-02,60.919602515398786,60.97501196884504,60.85531662661231,60.974297239061634,0.9196025153987873,0.9750119688450418,0.8553166266123144,0.9742972390616356,2.207288888133452,2.3402862090862215,2.0529857782505583,2.3385706688582273,-39.8,-39.15,-40.6,-39.3,78.0,78.0,78.0,79.0
2001-01-03,61.387176950671815,61.51241074038387,61.51916953005676,61.381553498666726,1.3871769506718123,1.512410740383869,1.5191695300567534,1.381553498666725,3.3295910111391316,3.630185178533718,3.6464080586285164,3.31609324127016,-35.3,-34.3,-34.1,-35.2,79.0,79.0,78.0,78.0
2001-01-04,61.35777496541216,61.190862663045515,61.154092122205014,61.20138570234698,1.3577749654121656,1.190862663045515,1.1540921222050133,1.2013857023469858,3.2590184819583707,2.8583848776158365,2.77012586913248,2.8836429508926975,-35.4,-36.900000000000006,-37.4,-36.8,78.0,78.0,79.0,78.0
2001-01-05,61.05201244002138,61.056708199749266,60.97064512844045,60.9031347850514,1.052012440021375,1.0567081997492573,0.9706451284404473,0.903134785051408,2.525107674406872,2.5363787378230085,2.3298046389079,2.1677619864559543,-38.3,-38.25,-39.2,-40.0,78.0,78.0,78.0,78.0
2001-01-06,60.75250966942594,60.76647720401437,60.66100301410527,60.63677503498091,0.7525096694259387,0.7664772040143633,0.6610030141052605,0.6367750349809078,1.806221931457587,1.839747703054981,1.5865817933572668,1.5284282452670659,-42.0,-41.8,-43.4,-43.8,78.0,78.0,78.0,78.0
2001-01-07,60.61335318741558,60.68925367487789,60.67342695298799,60.72526255317011,0.6133531874155824,0.6892536748778847,0.6734269529879888,0.7252625531701067,1.472209625803984,1.6543908397242189,1.616402527623967,1.7408216569497479,-44.2,-42.95,-43.2,-42.4,78.0,78.0,78.0,78.0
2001-01-08,60.70541596692917,60.721920133112455,60.68606168483156,60.648786738047455,0.7054159669291813,0.7219201331124595,0.6860616848315572,0.6487867380474592,1.6931846088301274,1.73279896613586,1.6467292206634692,1.5572595047105673,-42.7,-42.45,-43.0,-43.6,78.0,78.0,78.0,78.0
2001-01-09,60.59071354249454,60.61913439374387,60.65486911227737,60.78786809306109,0.5907135424945394,0.6191343937438725,0.6548691122773648,0.7878680930610913,1.417868499253416,1.48608604770884,1.571858809112554,1.891091485732285,-44.6,-44.1,-43.5,-41.5,78.0,78.0,78.0,78.0
2001-01-10,60.72526255317011,60.79876452981424,60.738772579544346,60.69245908740813,0.7252625531701067,0.798764529814242,0.7387725795443463,0.6924590874081346,1.7408216569497479,1.917245811501012,1.7732492880130637,1.6620846762910277,-42.4,-41.35,-42.2,-42.9,78.0,78.0,78.0,78.0
2001-01-11,60.667188831009675,60.738772579544346,60.7319893930602,60.71859164393352,0.6671888310096732,0.7387725795443463,0.7319893930602069,0.7185916439335192,1.6014293874954983,1.7732492880130637,1.7569678491284786,1.724809713109772,-43.3,-42.2,-42.3,-42.5,78.0,78.0,78.0,78.0
2001-01-12,60.795117349665205,60.915460366023055,60.824720942777326,60.780678607928266,0.795117349665204,0.9154603660230499,0.8247209427773247,0.780678607928267,1.9084916159858953,2.1973466357614173,1.979548057253753,1.8738348227943848,-41.4,-39.85,-41.0,-41.6,78.0,78.0,78.0,78.0
2001-01-13,60.83227572038438,60.9882190825316,61.11949767547334,61.08047184604062,0.8322757203843769,0.9882190825315991,1.119497675473342,1.0804718460406308,1.997681518597249,2.3719867697050785,2.6870900611792696,2.593417764491762,-40.9,-39.0,-37.6,-38.0,78.0,78.0,78.0,78.0
2001-01-14,61.23345968423375,61.066156486174805,60.648786738047455,60.61913439374387,1.2334596842337464,1.0661564861748063,0.6487867380474592,0.6191343937438725,2.9606289776067922,2.5590571203739447,1.5572595047105673,1.48608604770884,-36.5,-38.150000000000006,-43.6,-44.1,78.0,78.0,78.0,78.0
2001-01-15,60.54066657587497,60.588656517653156,60.588656517653156,60.56347850323386,0.5406665758749701,0.5886565176531524,0.5886565176531524,0.5634785032338637,1.297742562825049,1.4129310964092763,1.4129310964092763,1.3524972127232802,-45.4,-44.5,-44.5,-45.1,77.0,77.0,77.0,78.0
2001-01-16,60.51239047389069,60.56687112063553,60.56883278891929,60.5458180184746,0.5123904738906889,0.5668711206355352,0.5688327889192831,0.5458180184746034,1.2298724508315357,1.360640390419081,1.3653489123428633,1.3101073854713832,-46.1,-44.900000000000006,-45.0,-45.3,78.0,77.0,78.0,77.0
2001-01-17,60.62275718797238,60.66100301410527,60.64647335442766,60.648786738047455,0.622757187972382,0.6610030141052605,0.646473354427655,0.6487867380474592,1.494781710574785,1.5865817933572668,1.5517067730982905,1.5572595047105673,-43.9,-43.4,-43.5,-43.6,77.0,78.0,77.0,78.0
2001-01-18,60.630844943660335,60.77354845655835,60.80242681823491,60.824720942777326,0.630844943660335,0.7735484565583604,0.8024268182349139,0.8247209427773247,1.5141944600627693,1.8567205765565078,1.9260362708578813,1.979548057253753,-43.9,-41.7,-41.3,-41.0,78.0,78.0,78.0,78.0
2001-01-19,60.9031347850514,61.01059009196736,61.109623860715686,61.12945065524352,0.903134785051408,1.0105900919673552,1.1096238607156788,1.1294506552435168,2.1677619864559543,2.425683100148954,2.6633902982565614,2.710979841038124,-40.0,-38.75,-37.7,-37.5,78.0,78.0,78.0,78.0
2001-01-20,61.316599077737834,61.44232737817663,61.51241074038387,61.59234930544686,1.3165990777378354,1.4423273781766266,1.512410740383869,1.592349305446856,3.1601854776976497,3.4619666014281583,3.630185178533718,3.8220588450822968,-35.9,-34.85,-34.3,-33.7,79.0,79.0,79.0,79.0
2001-01-21,61.91091253162283,61.94332747496118,61.75601457370747,61.80838416200277,1.9109125316228233,1.9433274749611806,1.7560145737074662,1.808384162002762,4.5866947149626975,4.664499139202674,4.21489871008459,4.340599551899057,-31.7,-31.5,-32.7,-32.5,80.0,80.0,80.0,81.0
2001-01-22,62.1039638162522,62.244140914697624,62.21173148468678,61.83927092716863,2.1039638162521985,2.244140914697625,2.2117314846867826,1.8392709271686285,5.050068779590528,5.38653083421551,5.30873964341755,4.4147359449595305,-30.7,-29.85,-30.1,-32.3,81.0,80.5,81.0,81.0
2001-01-23,62.12159065355494,62.38253419026332,62.22051223320105,62.305298540992865,2.121590653554939,2.382534190263316,2.220512233201054,2.305298540992859,5.092377844061062,5.718711242852245,5.329815758696159,5.533325287999217,-30.6,-29.049999999999997,-30.2,-29.6,81.0,80.0,82.0,81.0
2001-01-24,62.77213489594416,62.96269140273785,61.95114695690528,61.69576783077754,2.7721348959441623,2.9626914027378533,1.9511469569052853,1.6957678307775401,6.65385582331847,7.111241762312823,4.683267960858948,4.070290616926218,-27.5,-26.450000000000003,-31.6,-33.4,82.0,80.5,81.0,82.0
2001-01-25,61.28090044131966,62.09934814398943,61.254034484312655,61.00989679514181,1.2809004413196599,2.0993481439894333,1.2540344843126616,1.009896795141812,3.074499322899361,5.038989947240388,3.0100139312463123,2.4240190046799066,-36.5,-30.799999999999997,-36.6,-38.9,81.0,81.5,80.0,79.0
2001-01-26,60.94834522219053,61.05604501035364,61.084638752164,61.164334772635286,0.9483452221905336,1.0560450103536498,1.084638752163994,1.1643347726352822,2.2762789748871706,2.534786908136661,2.603419439595929,2.794710935072589,-39.6,-38.4,-38.1,-37.3,79.0,79.0,79.0,79.0
2001-01-27,61.13385020977428,61.445192797082804,61.4293157531104,61.61250562576897,1.1338502097742822,1.4451927970828,1.4293157531104088,1.612505625768968,2.721539933758491,3.4688443635107267,3.4307352651232934,3.8704393367921996,-37.6,-34.900000000000006,-35.1,-33.7,79.0,79.5,80.0,80.0
2001-01-28,61.33326488884843,61.60186442475447,61.344944355983216,60.99195289796668,1.3332648888484409,1.6018644247544669,1.3449443559832182,0.9919528979666714,3.2001878255166076,3.8448976441995963,3.2282216309860647,2.380948912785562,-35.9,-33.85,-35.8,-39.1,80.0,80.5,80.0,79.0
2001-01-29,60.80531116184039,61.333933356605485,61.216788083146305,61.24927326992905,0.8053111618403989,1.3339333566054843,1.2167880831463063,1.249273269929051,1.9329594572164834,3.201792324664325,2.9206127323143987,2.998585759370982,-41.4,-35.75,-36.8,-36.5,79.0,79.0,79.0,79.0
2001-01-30,61.180422789089114,61.31132074708364,61.19555641459026,61.190862663045515,1.1804227890891141,1.3113207470836377,1.1955564145902569,1.190862663045515,2.8333264231296758,3.1475160902114134,2.869651120862107,2.8583848776158365,-37.0,-35.8,-37.0,-36.9,78.0,78.0,79.0,78.0
2001-01-31,60.75946441811614,60.93634085228938,60.75250966942594,60.76647720401437,0.7594644181161376,0.9363408522893877,0.7525096694259387,0.7664772040143633,1.822915164943338,2.2474653169772063,1.806221931457587,1.839747703054981,-41.9,-39.6,-42.0,-41.8,78.0,78.0,78.0,78.0
2001-02-01,60.709378930549754,60.885766808415795,60.8520582957156,60.814147597357106,0.7093789305497561,0.885766808415804,0.852058295715598,0.8141475973571026,1.7026967680699032,2.126074255947186,2.045164923629402,1.95416923600691,-42.5,-40.0,-40.5,-41.0,77.0,76.5,77.0,77.0
2001-02-02,60.79941492998734,60.90032774258595,60.7428621095615,60.60548968501281,0.7994149299873389,0.9003277425859496,0.7428621095615036,0.6054896850128185,1.9188069436759203,2.1610243432473135,1.7830652400286433,1.4533351434218817,-41.2,-39.6,-42.0,-44.2,77.0,75.0,77.0,77.0
2001-02-03,60.58314029194974,60.75173725778332,60.64046895935454,60.648786738047455,0.5831402919497376,0.7517372577833179,0.6404689593545432,0.6487867380474592,1.3996906979809363,1.8043679395346928,1.5372946392655598,1.5572595047105673,-44.6,-41.8,-43.6,-43.6,77.0,76.5,77.0,78.0
