LT,Case No_count,CC02,CC36,CC714,CC15P
2001-01-01,31,11,9,3,8
2001-01-02,48,24,7,8,9
2001-01-03,189,55,53,22,59
2001-01-04,177,52,33,33,59
2001-01-05,154,45,29,25,55
2001-01-06,52,26,6,7,13
2001-01-07,44,28,6,7,3
2001-01-08,47,20,12,6,9
2001-01-09,278,62,68,44,104
2001-01-10,171,44,39,34,54
2001-01-11,189,46,34,51,58
2001-01-12,164,37,36,40,51
2001-01-13,60,25,18,,17
2001-01-14,32,16,5,3,8
2001-01-15,274,56,76,53,89
2001-01-16,208,37,62,41,68
2001-01-17,181,42,49,37,53
2001-01-18,182,35,32,46,69
2001-01-19,202,37,50,44,71
2001-01-20,72,24,15,18,15
2001-01-21,20,11,6,2,1
2001-01-22,275,67,56,68,84
2001-01-23,190,35,42,51,62
2001-01-24,224,45,51,53,75
2001-01-25,190,39,33,48,70
2001-01-26,200,31,44,64,61
2001-01-27,90,35,20,22,13
2001-01-28,31,9,12,4,6
2001-01-29,316,40,83,102,91
2001-01-30,277,53,76,87,61
2001-01-31,249,50,49,84,66
2001-02-01,234,33,58,75,68
2001-02-02,197,32,46,59,60
2001-02-03,71,17,20,15,19
2001-02-04,40,16,12,7,5
2001-02-05,390,50,105,122,113
2001-02-06,293,37,71,83,102
2001-02-07,293,51,54,77,111
2001-02-08,263,55,51,98,59
2001-02-09,276,50,63,93,70
2001-02-10,73,31,17,14,11
2001-02-11,39,23,10,3,3
2001-02-12,382,57,98,110,117
2001-02-13,332,53,88,96,95
2001-02-14,324,44,78,118,84
2001-02-15,224,44,32,59,89
2001-02-16,240,33,61,72,74
2001-02-17,92,30,11,29,22
2001-02-18,30,18,6,2,4
2001-02-19,447,102,102,140,103
2001-02-20,286,35,76,91,84
2001-02-21,289,49,65,97,78
2001-02-22,289,49,71,84,85
2001-02-23,226,50,50,72,54
2001-02-24,69,23,18,18,10
2001-02-25,29,12,8,7,2
2001-02-26,413,65,108,132,108
2001-02-27,296,51,60,92,93
2001-02-28,261,36,66,92,67
2001-03-01,216,35,47,69,65
2001-03-02,221,42,43,73,63
2001-03-03,65,26,12,18,9
2001-03-04,39,14,14,9,2
2001-03-05,344,55,85,127,77
2001-03-06,252,42,56,82,72
2001-03-07,229,36,64,72,57
2001-03-08,32,13,3,11,5
2001-03-09,48,21,12,11,4
2001-03-10,79,17,16,23,23
2001-03-11,379,52,106,109,112
2001-03-12,363,65,75,117,106
2001-03-13,284,49,66,95,74
2001-03-14,227,35,62,65,65
2001-03-15,313,53,71,108,81
2001-03-16,300,45,65,103,87
2001-03-17,84,22,17,32,13
2001-03-18,56,15,19,15,7
2001-03-19,432,51,115,142,124
2001-03-20,323,52,94,93,84
2001-03-21,300,57,82,90,71
2001-03-22,258,41,76,71,70
2001-03-23,208,32,48,54,74
2001-03-24,107,34,27,24,22
2001-03-25,42,12,13,6,11
2001-03-26,358,66,112,78,102
2001-03-27,248,34,72,71,71
2001-03-28,259,52,93,50,64
2001-03-29,197,35,66,50,46
2001-03-30,213,45,68,32,68
2001-03-31,83,29,24,23,7
2001-04-01,36,15,10,7,4
2001-04-02,384,60,129,89,106
2001-04-03,264,42,93,56,73
2001-04-04,268,57,77,51,83
2001-04-05,245,44,77,57,67
2001-04-06,226,38,58,60,70
2001-04-07,81,21,28,20,12
2001-04-08,44,12,23,4,5
2001-04-09,362,59,99,89,115
2001-04-10,306,42,90,86,88
2001-04-11,308,38,103,76,91
2001-04-12,260,33,77,76,74
2001-04-13,231,48,70,52,61
2001-04-14,115,31,29,33,22
2001-04-15,36,5,9,6,16
2001-04-16,470,88,103,126,153
2001-04-17,392,70,103,111,108
2001-04-18,280,38,63,78,101
2001-04-19,336,63,83,104,86
2001-04-20,454,72,130,133,119
2001-04-21,103,28,35,23,17
2001-04-22,83,29,22,20,12
2001-04-23,550,66,146,220,118
2001-04-24,401,60,93,119,129
2001-04-25,353,41,79,124,109
2001-04-26,344,34,90,119,101
2001-04-27,90,17,19,27,27
2001-04-28,174,33,55,51,35
2001-04-29,99,16,26,24,33
2001-04-30,229,30,56,54,89
2001-05-01,81,16,21,24,20
2001-05-02,92,19,28,20,25
2001-05-03,688,107,152,195,234
2001-05-04,359,66,117,103,73
2001-05-05,351,61,93,102,95
2001-05-06,73,30,17,17,9
2001-05-07,458,68,100,136,154
2001-05-08,320,59,76,97,88
2001-05-09,50,18,13,9,10
2001-05-10,427,82,101,142,102
2001-05-11,341,51,105,105,80
2001-05-12,95,25,19,14,37
2001-05-13,42,11,9,8,14
2001-05-14,316,47,85,98,86
2001-05-15,276,52,77,69,78
2001-05-16,248,35,73,72,68
2001-05-17,226,50,62,47,67
2001-05-18,205,45,55,52,53
2001-05-19,89,12,24,19,34
2001-05-20,33,18,4,8,3
2001-05-21,282,56,85,64,77
2001-05-22,180,36,70,29,45
2001-05-23,171,27,53,31,60
2001-05-24,168,42,43,34,49
2001-05-25,162,48,48,25,41
2001-05-26,44,20,14,2,8
2001-05-27,35,18,10,3,4
2001-05-28,217,56,78,34,49
2001-05-29,136,39,44,15,38
2001-05-30,170,44,57,29,40
2001-05-31,102,27,36,23,16
2001-06-01,111,26,40,22,23
