date,year,isoWeek,month,day,epi_week,epi_year,meanTemp,count
2007-01-01,2007,1,1,1,1,2007,-20.125,42.1428571428571
2007-01-02,2007,1,1,2,1,2007,-19.575,42.1428571428571
2007-01-03,2007,1,1,3,1,2007,-19.2125,42.1428571428571
2007-01-04,2007,1,1,4,1,2007,-18.025,42.1428571428571
2007-01-05,2007,1,1,5,1,2007,-18.6874999999999,42.1428571428571
2007-01-06,2007,1,1,6,1,2007,-15.9625,42.1428571428571
2007-01-07,2007,1,1,7,1,2007,-18.85,42.1428571428571
2007-01-08,2007,2,1,1,2,2007,-17.475,114.428571428571
2007-01-09,2007,2,1,2,2,2007,-19.2375,114.428571428571
2007-01-10,2007,2,1,3,2,2007,-15.225,114.428571428571
2007-01-11,2007,2,1,4,2,2007,-15.675,114.428571428571
2007-01-12,2007,2,1,5,2,2007,-16.35,114.428571428571
2007-01-13,2007,2,1,6,2,2007,-14.825,114.428571428571
2007-01-14,2007,2,1,7,2,2007,-18.15,114.428571428571
2007-01-15,2007,3,1,1,3,2007,-16.4375,143.857142857142
2007-01-16,2007,3,1,2,3,2007,-20.6625,143.857142857142
2007-01-17,2007,3,1,3,3,2007,-23.5625,143.857142857142
2007-01-18,2007,3,1,4,3,2007,-21.9124999999999,143.857142857142
2007-01-19,2007,3,1,5,3,2007,-18.2125,143.857142857142
2007-01-20,2007,3,1,6,3,2007,-19.7875,143.857142857142
2007-01-21,2007,3,1,7,3,2007,-20.5,143.857142857142
2007-01-22,2007,4,1,1,4,2007,-18.45,258.142857142857
2007-01-23,2007,4,1,2,4,2007,-12.7625,258.142857142857
2007-01-24,2007,4,1,3,4,2007,-7.25,258.142857142857
2007-01-25,2007,4,1,4,4,2007,-10.3875,258.142857142857
2007-01-26,2007,4,1,5,4,2007,-14.6499999999999,258.142857142857
2007-01-27,2007,4,1,6,4,2007,-18.3625,258.142857142857
2007-01-28,2007,4,1,7,4,2007,-18.2375,258.142857142857
2007-01-29,2007,5,1,1,5,2007,-13.15,389.142857142857
2007-01-30,2007,5,1,2,5,2007,-9.225,389.142857142857
2007-01-31,2007,5,1,3,5,2007,-14.8625,389.142857142857
2007-02-01,2007,5,2,4,5,2007,-15.5285714285714,389.142857142857
2007-02-02,2007,5,2,5,5,2007,-15.8999999999999,389.142857142857
2007-02-03,2007,5,2,6,5,2007,-10.0999999999999,389.142857142857
2007-02-04,2007,5,2,7,5,2007,-17.6375,389.142857142857
2007-02-05,2007,6,2,1,6,2007,-15.2999999999999,446.714285714285
2007-02-06,2007,6,2,2,6,2007,-21.5875,446.714285714285
2007-02-07,2007,6,2,3,6,2007,-19.5875,446.714285714285
2007-02-08,2007,6,2,4,6,2007,-15.1,446.714285714285
2007-02-09,2007,6,2,5,6,2007,-14.6624999999999,446.714285714285
2007-02-10,2007,6,2,6,6,2007,-13.1749999999999,446.714285714285
2007-02-11,2007,6,2,7,6,2007,-17.325,446.714285714285
2007-02-12,2007,7,2,1,7,2007,-19.8375,346.142857142857
2007-02-13,2007,7,2,2,7,2007,-13.8624999999999,346.142857142857
2007-02-14,2007,7,2,3,7,2007,-12.8374999999999,346.142857142857
2007-02-15,2007,7,2,4,7,2007,-13.2875,346.142857142857
2007-02-16,2007,7,2,5,7,2007,-17.525,346.142857142857
2007-02-17,2007,7,2,6,7,2007,-14.425,346.142857142857
2007-02-18,2007,7,2,7,7,2007,-20.9,346.142857142857
2007-02-19,2007,8,2,1,8,2007,-18.4375,198.285714285714
2007-02-20,2007,8,2,2,8,2007,-21.975,198.285714285714
2007-02-21,2007,8,2,3,8,2007,-20.375,198.285714285714
2007-02-22,2007,8,2,4,8,2007,-15.5874999999999,198.285714285714
2007-02-23,2007,8,2,5,8,2007,-20.5,198.285714285714
2007-02-24,2007,8,2,6,8,2007,-22.9375,198.285714285714
2007-02-25,2007,8,2,7,8,2007,-20.0625,198.285714285714
2007-02-26,2007,9,2,1,9,2007,-7.4875,161.571428571428
2007-02-27,2007,9,2,2,9,2007,-14.3,161.571428571428
2007-02-28,2007,9,2,3,9,2007,-8.2875,161.571428571428
2007-03-01,2007,9,3,4,9,2007,-8.75,161.571428571428
2007-03-02,2007,9,3,5,9,2007,-6.7625,161.571428571428
2007-03-03,2007,9,3,6,9,2007,-10.95,161.571428571428
2007-03-04,2007,9,3,7,9,2007,-16.2125,161.571428571428
2007-03-05,2007,10,3,1,10,2007,-14.45,116.142857142857
2007-03-06,2007,10,3,2,10,2007,-15.0285714285714,116.142857142857
2007-03-07,2007,10,3,3,10,2007,-11.65,116.142857142857
2007-03-08,2007,10,3,4,10,2007,-8.9625,116.142857142857
2007-03-09,2007,10,3,5,10,2007,-11.05,116.142857142857
2007-03-10,2007,10,3,6,10,2007,-10.9,116.142857142857
2007-03-11,2007,10,3,7,10,2007,-10.7625,116.142857142857
2007-03-12,2007,11,3,1,11,2007,-11.1625,144.142857142857
2007-03-13,2007,11,3,2,11,2007,-8.7125,144.142857142857
2007-03-14,2007,11,3,3,11,2007,-10.325,144.142857142857
2007-03-15,2007,11,3,4,11,2007,-9.3375,144.142857142857
2007-03-16,2007,11,3,5,11,2007,-9.1,144.142857142857
2007-03-17,2007,11,3,6,11,2007,-9.9375,144.142857142857
2007-03-18,2007,11,3,7,11,2007,-7.95,144.142857142857
2007-03-19,2007,12,3,1,12,2007,-5.3125,157.428571428571
2007-03-20,2007,12,3,2,12,2007,-5.71249999999999,157.428571428571
