Местное время в Благовещенске,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
15.02.2018 18:00,-13.0,743.0,,,44,Ветер; дующий с юга,2,,,50%., ,,,,,,,,,,,,,,,,,
15.02.2018 15:00,-9.0,743.0,,,31,Ветер; дующий с юга,3,,,50%., ,,,,,,,,,,,,,,,,,
15.02.2018 12:00,-11.0,744.0,,,33,Ветер; дующий с северо-запада,2,,,50%., ,,,,,,,,,,,,,,,,,
15.02.2018 09:00,-19.0,744.0,,,57,Ветер; дующий с севера,2,,,50%., ,,,,,,,,,,,,,,,,,
15.02.2018 06:00,-18.0,743.0,,,53,Ветер; дующий с запада,4,,,100%., ,,,,,,,,,,,,,,,,,
15.02.2018 03:00,-21.0,744.0,,,64,Ветер; дующий с запада,2,,,100%., ,,,,,,,,,,,,,,,,,
15.02.2018 00:00,-21.0,743.0,,,64,Ветер; дующий с севера,2,,,100%., ,,,,,,,,,,,,,,,,,
14.02.2018 21:00,-19.0,743.0,,,55,Ветер; дующий с севера,2,,,Облаков нет., ,,,,,,,,,,,,,,,,,
14.02.2018 18:00,-13.0,743.0,,,41,Штиль; безветрие,0,,,Облаков нет., ,,,,,,,,,,,,,,,,,
14.02.2018 15:00,-10.0,741.0,,,34,Ветер; дующий с северо-запада,6,,,Облаков нет., ,,,,,,,,,,,,,,,,,
14.02.2018 12:00,-12.0,742.0,,,39,Ветер; дующий с севера,4,,,Облаков нет., ,,,,,,,,,,,,,,,,,
14.02.2018 09:00,-18.0,741.0,,,59,Ветер; дующий с северо-запада,2,,,Облаков нет., ,,,,,,,,,,,,,,,,,
14.02.2018 06:00,-22.0,740.0,,,69,Ветер; дующий с северо-запада,2,,,100%., ,,,,,,,,,,,,,,,,,
14.02.2018 03:00,-18.0,740.0,,,63,Ветер; дующий с запада,3,,,100%., ,,,,,,,,,,,,,,,,,
14.02.2018 00:00,-17.0,740.0,,,64,Ветер; дующий с запада,2,,,100%., ,,,,,,,,,,,,,,,,,
13.02.2018 21:00,-17.0,740.0,,,64,Ветер; дующий с запада,2,,,100%., ,,,,,,,,,,,,,,,,,
13.02.2018 18:00,-14.0,740.0,,,46,Ветер; дующий с севера,1,,,100%., ,,,,,,,,,,,,,,,,,
13.02.2018 15:00,-12.0,739.0,,,40,Ветер; дующий с северо-запада,4,,,100%., ,,,,,,,,,,,,,,,,,
13.02.2018 12:00,-14.0,740.0,,,42,Ветер; дующий с северо-запада,4,,,100%., ,,,,,,,,,,,,,,,,,
13.02.2018 09:00,-22.0,740.0,,,64,Ветер; дующий с севера,1,,,100%., ,,,,,,,,,,,,,,,,,
13.02.2018 06:00,-27.0,740.0,,,69,Ветер; дующий с севера,2,,,100%., ,,,,,,,,,,,,,,,,,
13.02.2018 03:00,-27.0,741.0,,,68,Ветер; дующий с севера,1,,,100%., ,,,,,,,,,,,,,,,,,
13.02.2018 00:00,-26.0,742.0,,,67,Ветер; дующий с севера,1,,,100%., ,,,,,,,,,,,,,,,,,
12.02.2018 21:00,-25.0,743.0,,,60,Ветер; дующий с запада,2,,,Облаков нет., ,,,,,,,,,,,,,,,,,
12.02.2018 18:00,-20.0,743.0,,,45,Ветер; дующий с запада,1,,,50%., ,,,,,,,,,,,,,,,,,
12.02.2018 15:00,-16.0,742.0,,,35,Ветер; дующий с севера,2,,,50%., ,,,,,,,,,,,,,,,,,
12.02.2018 12:00,-19.0,742.0,,,46,Ветер; дующий с северо-запада,4,,,Облаков нет., ,,,,,,,,,,,,,,,,,
12.02.2018 09:00,-24.0,742.0,,,69,Ветер; дующий с запада,4,,,Облаков нет., ,,,,,,,,,,,,,,,,,
12.02.2018 06:00,-26.0,742.0,,,73,Ветер; дующий с запада,2,,,100%., ,,,,,,,,,,,,,,,,,
12.02.2018 03:00,-27.0,742.0,,,72,Ветер; дующий с севера,2,,,100%., ,,,,,,,,,,,,,,,,,
12.02.2018 00:00,-27.0,741.0,,,72,Ветер; дующий с северо-запада,1,,,100%., ,,,,,,,,,,,,,,,,,
11.02.2018 21:00,-23.0,742.0,,,73,Ветер; дующий с северо-запада,1,,,,Снег с перерывами слабый в срок наблюдения. ,,,,,,,,,,,,,,,,,
11.02.2018 18:00,-21.0,742.0,,,69,Ветер; дующий с северо-запада,2,,,100%., ,,,,,,,,,,,,,,,,,
11.02.2018 15:00,-18.0,741.0,,,48,Ветер; дующий с северо-запада,4,,,100%., ,,,,,,,,,,,,,,,,,
11.02.2018 12:00,-20.0,741.0,,,59,Ветер; дующий с севера,2,,,100%., ,,,,,,,,,,,,,,,,,
11.02.2018 09:00,-27.0,742.0,,,70,Ветер; дующий с северо-запада,2,,,50%., ,,,,,,,,,,,,,,,,,
11.02.2018 06:00,-29.0,741.0,,,70,Ветер; дующий с северо-запада,1,,,100%., ,,,,,,,,,,,,,,,,,
11.02.2018 03:00,-28.0,743.0,,,71,Ветер; дующий с севера,2,,,100%., ,,,,,,,,,,,,,,,,,
11.02.2018 00:00,-26.0,743.0,,,71,Ветер; дующий с севера,2,,,100%., ,,,,,,,,,,,,,,,,,
10.02.2018 21:00,-23.0,744.0,,,72,Ветер; дующий с запада,1,,,,Снег с перерывами слабый в срок наблюдения. ,,,,,,,,,,,,,,,,,
10.02.2018 18:00,-19.0,743.0,,,59,Ветер; дующий с юга,2,,,100%., ,,,,,,,,,,,,,,,,,
10.02.2018 15:00,-16.0,743.0,,,46,Ветер; дующий с юга,2,,,50%., ,,,,,,,,,,,,,,,,,
